Text,Weight,Pos Tag
Bump,4,NN
Hook,4,NN
Worker,4,NN
Matter,4,NN
Storm,4,NN
Figure,4,NN
Past,4,NN
Yay,4,NN
Line,4,NN
Tv,4,NN
Mom,4,NN
Flightr,4,NN
Anyone,4,NN
Area,4,NN
Girl,4,NN
Different,4,NN
Husband,4,NN
Greatservice,4,NN
Condition,4,NN
Visit,4,NN
Opportunity,4,NN
Bestairline,4,NN
Fee,4,NN
Choice,4,NN
Notch,4,NN
Disappoint,4,NN
Saw,4,NN
Ya'll,4,NN
Nc,4,NN
Side,4,NN
Ha,4,NN
Sju,4,NN
Dfwairport,4,NN
Vx,3,NN
Haven't,3,NN
Stress,3,NN
Sf,3,NN
Getaway,3,NN
Front,3,NN
Nonstop,3,NN
Depart,3,NN
Redcarpet,3,NN
Song,3,NN
Field,3,NN
Crisis,3,NN
Asap,3,NN
Painless,3,NN
Entire,3,NN
Full,3,NN
Comp,3,NN
Tix,3,NN
Moment,3,NN
Black,3,NN
Lhr,3,NN
Drive,3,NN
Common,3,NN
Guess,3,NN
Wc,3,NN
Record,3,NN
Old,3,NN
Intl,3,NN
Iah,3,NN
Jp,3,NN
Eyâ,3,NN
Room,3,NN
Counter,3,NN
Rdu,3,NN
Tho,3,NN
Beer,3,NN
Suck,3,NN
Ty,3,NN
Breakfast,3,NN
Serv,3,NN
Frontrunner,3,NN
Happycustomer,3,NN
Tail,3,NN
Coat,3,NN
Boise,3,NN
Dm'd,3,NN
Anthony,3,NN
Miami,3,NN
Mess,3,NN
Diego,3,NN
Space,3,NN
Story,3,NN
Mistake,3,NN
Tpa,3,NN
Bit,3,NN
Type,3,NN
Mark,3,NN
Ton,3,NN
Aw,3,NN
Slc,3,NN
Firstclass,3,NN
Place,3,NN
Problemss,3,NN
Stick,3,NN
Puerto,3,NN
Message,3,NN
Quality,3,NN
File,3,NN
Mission,3,NN
Official,3,NN
Winter,3,NN
Avgeek,3,NN
None,3,NN
Respect,3,NN
Item,3,NN
Hassle,3,NN
Weâ,3,NN
Ft,3,NN
Speedy,3,NN
Nature,3,NN
Gogo,3,NN
Difficult,3,NN
Fl,3,NN
Sweetheart,3,NN
Post,3,NN
Stream,3,NN
Cup,3,NN
Dia,3,NN
Abq,3,NN
Ipad,3,NN
Shot,3,NN
Dtw,3,NN
History,3,NN
Bc,3,NN
Entertain,3,NN
Success,3,NN
Airplane,3,NN
Everyone's,3,NN
Degree,3,NN
Web,3,NN
Hero,3,NN
Cellphone,3,NN
Son,3,NN
Bna,3,NN
Dream,3,NN
Shannon,3,NN
Miracle,3,NN
Complain,3,NN
Brand,3,NN
Idea,3,NN
Resolution,3,NN
Mother,3,NN
Legroom,3,NN
Market,3,NN
Iphone,3,NN
Aviation,3,NN
Value,3,NN
Emerg,3,NN
Ðÿœ,3,NN
We've,3,NN
Jetbluesofly,3,NN
Sleep,3,NN
Account,3,NN
Color,3,NN
Airbus,3,NN
Trueblue,3,NN
Fyi,3,NN
Cali,3,NN
Brandmance,3,NN
Selfie,3,NN
Buffalo,3,NN
Brandloveaffair,3,NN
Ch,3,NN
Jetbae,3,NN
Lovejetblue,3,NN
Frequent,3,NN
Holder,3,NN
Shoutout,3,NN
Accommodate,3,NN
Style,3,NN
Jayvig,3,NN
Fc,3,NN
Origin,3,NN
Dawn,3,NN
Dean,3,NN
Hawaii,2,NN
Ladygaga,2,NN
Carrieunderwood,2,NN
Bill,2,NN
Farecompare,2,NN
Design,2,NN
Princesshalf,2,NN
Match,2,NN
Elevate,2,NN
School,2,NN
Film,2,NN
Feet,2,NN
Sanfrancisco,2,NN
Rockstar,2,NN
Product,2,NN
Gesture,2,NN
Fat,2,NN
Yummy,2,NN
Thought,2,NN
Window,2,NN
Cut,2,NN
Industry,2,NN
Coach,2,NN
Track,2,NN
Uk,2,NN
Round,2,NN
Operating,2,NN
Somehow,2,NN
List,2,NN
Œâ,2,NN
Spoke,2,NN
Mileage,2,NN
Fit,2,NN
Ms,2,NN
Article,2,NN
Program,2,NN
Medal,2,NN
Brilliant,2,NN
Jh,2,NN
Cust,2,NN
Tsa,2,NN
Goodflight,2,NN
Friendlysky,2,NN
Memory,2,NN
Exact,2,NN
Conf,2,NN
Hospitality,2,NN
Immediate,2,NN
Nj,2,NN
Luggage,2,NN
Goal,2,NN
Âœ,2,NN
Hmmm,2,NN
Sense,2,NN
Flightd,2,NN
Wi,2,NN
Fi,2,NN
Damn,2,NN
Cmh,2,NN
Cle,2,NN
Xl,2,NN
Gfc,2,NN
Peace,2,NN
Woman,2,NN
Terrific,2,NN
Yâ,2,NN
Notification,2,NN
Recognition,2,NN
Submit,2,NN
Request,2,NN
Msy,2,NN
Maintenance,2,NN
Cute,2,NN
East,2,NN
Bay,2,NN
Contact,2,NN
Certificate,2,NN
Relief,2,NN
Chocolate,2,NN
Thnx,2,NN
Flight,1,NN
Thank,1,NN
Virginamerica,129,NNP
Service,126,NNP
Awesome,87,NNP
New,54,NNP
Know,53,NNP
Day,53,NNP
Board,34,NNP
La,26,NNP
Miss,22,NNP
Air,19,NNP
Kudos,19,NNP
San,15,NNP
Blue,12,NNP
Boston,10,NNP
Hard,10,NNP
Number,9,NNP
Chicago,9,NNP
Social,9,NNP
Kid,9,NNP
Hot,8,NNP
Smooth,8,NNP
Media,8,NNP
Member,6,NNP
Nashville,6,NNP
Saturday,6,NNP
Heard,5,NNP
City,5,NNP
Friday,5,NNP
Houston,5,NNP
International,5,NNP
Party,5,NNP
Center,5,NNP
Atlanta,5,NNP
God,5,NNP
Angel,4,NNP
Met,4,NNP
Texas,4,NNP
Website,4,NNP
Delta,4,NNP
April,4,NNP
Brought,4,NNP
America,3,NNP
Francisco,3,NNP
California,3,NNP
Group,3,NNP
Trust,3,NNP
Sea,3,NNP
Computer,3,NNP
Held,3,NNP
Cheap,3,NNP
John,3,NNP
Grand,3,NNP
Sunday,3,NNP
Checkin,3,NNP
Wednesday,3,NNP
Fe,2,NNP
Kick,2,NNP
Pa,2,NNP
Dan,2,NNP
Winston,2,NNP
Ashley,2,NNP
Kpâ,2,NNP
Co,1,NNP
Always,34,NNS
Gets,32,NNS
Destinationdragons,21,NNS
People,17,NNS
Imaginedragons,15,NNS
Flew,11,NNS
Oscars,10,NNS
Dallas,10,NNS
Skis,7,NNS
Congrats,7,NNS
Goes,7,NNS
Airways,7,NNS
Dulles,5,NNS
Details,5,NNS
Fingers,5,NNS
Dragons,5,NNS
Lets,5,NNS
Unitedairlines,4,NNS
Karen,4,NNS
Steps,4,NNS
Southwestairlines,4,NNS
Eyes,4,NNS
Americanairlines,3,NNS
Pro,3,NNS
Nuts,3,NNS
Jetbluerocks,3,NNS
Weds,3,NNS
Crewmembers,3,NNS
Mountains,2,NNS
Cheapflights,2,NNS
Luxuries,2,NNS
's,9,POS
Now,69,RB
Back,56,RB
Very,48,RB
First,42,RB
Really,39,RB
Well,37,RB
Still,36,RB
Even,32,RB
Here,26,RB
Right,25,RB
Forward,20,RB
Early,19,RB
Never,19,RB
Late,18,RB
Long,17,RB
Already,16,RB
Family,16,RB
Soon,15,RB
Away,12,RB
Friendly,10,RB
Pretty,9,RB
Definitely,8,RB
Hopefully,8,RB
Ago,8,RB
Actually,8,RB
Once,7,RB
Fast,7,RB
Philly,6,RB
Enough,6,RB
Eventually,6,RB
Together,5,RB
Exactly,5,RB
Anyway,5,RB
Maybe,5,RB
Seriously,4,RB
Extremely,4,RB
Sincerely,4,RB
Instead,4,RB
Truly,4,RB
Jvmchat,4,RB
Apparently,3,RB
Easily,3,RB
Quickly,3,RB
Forever,3,RB
Perhaps,3,RB
Especially,3,RB
Runway,3,RB
Thankfully,3,RB
Amazingly,2,RB
Beautifully,2,RB
Probably,2,RB
Otherwise,2,RB
Sometime,2,RB
Automatically,2,RB
Flyerfriendly,2,RB
More,34,RBR
Better,28,RBR
Earlier,12,RBR
Yes,42,UH
Oh,13,UH
Love,139,VB
Make,78,VB
See,52,VB
Please,49,VB
Look,46,VB
Go,45,VB
Take,42,VB
