"weight";"word";"color";"url"
"10";"denied";"";""
"10";"dfw";"";""
"10";"doors";"";""
"10";"double";"";""
"10";"eat";"";""
"10";"emailed";"";""
"10";"emails";"";""
"10";"etc";"";""
"10";"FAIL";"";""
"10";"Flightation";"";""
"10";"frequent";"";""
"10";"frozen";"";""
"10";"funds";"";""
"10";"Great";"";""
"10";"hand";"";""
"10";"handling";"";""
"10";"honest";"";""
"10";"items";"";""
"10";"jet";"";""
"10";"known";"";""
"10";"leaves";"";""
"10";"level";"";""
"10";"lies";"";""
"10";"list";"";""
"10";"literally";"";""
"10";"lounge";"";""
"10";"Makes";"";""
"10";"man";"";""
"10";"msg";"";""
"10";"Nashville";"";""
"10";"Nice";"";""
"10";"nobody";"";""
"10";"none";"";""
"10";"Nope";"";""
"10";"O'Hare";"";""
"10";"onboard";"";""
"10";"order";"";""
"10";"outside";"";""
"10";"overbooked";"";""
"10";"PBI";"";""
"10";"play";"";""
"10";"plz";"";""
"10";"power";"";""
"10";"preferred";"";""
"10";"pull";"";""
"10";"push";"";""
"10";"queue";"";""
"10";"quick";"";""
"10";"remember";"";""
"10";"respect";"";""
"10";"rows";"";""
"10";"Rude";"";""
"10";"security";"";""
"10";"set";"";""
"10";"sold";"";""
"10";"sort";"";""
"10";"super";"";""
"10";"surprise";"";""
"10";"taxi";"";""
"10";"traffic";"";""
"10";"training";"";""
"10";"transferred";"";""
"10";"true";"";""
"10";"tv";"";""
"10";"tweeting";"";""
"10";"unfortunately";"";""
"10";"video";"";""
"10";"wasting";"";""
"10";"Way";"";""
"10";"wet";"";""
"10";"Yeah";"";""
"9";"4th";"";""
"9";"act";"";""
"9";"additional";"";""
"9";"Agent";"";""
"9";"ahead";"";""
"9";"angry";"";""
"9";"appreciated";"";""
"9";"arrives";"";""
"9";"Austin";"";""
"9";"avail";"";""
"9";"aware";"";""
"9";"ball";"";""
"9";"canned";"";""
"9";"carousel";"";""
"9";"causing";"";""
"9";"CEO";"";""
"9";"children";"";""
"9";"clean";"";""
"9";"clear";"";""
"9";"consider";"";""
"9";"contacted";"";""
"9";"crap";"";""
"9";"decision";"";""
"9";"dept";"";""
"9";"dirty";"";""
"9";"dog";"";""
"9";"EVER";"";""
"9";"FAA";"";""
"9";"feeling";"";""
"9";"final";"";""
"9";"followed";"";""
"9";"frm";"";""
"9";"funny";"";""
"9";"Gold";"";""
"9";"gotta";"";""
"9";"honeymoon";"";""
"9";"honor";"";""
"9";"Horrible";"";""
"9";"however";"";""
"9";"impossible";"";""
"9";"inbound";"";""
"9";"infant";"";""
"9";"inflight";"";""
"9";"inside";"";""
"9";"issued";"";""
"9";"Ive";"";""
"9";"lax";"";""
"9";"legroom";"";""
"9";"likely";"";""
"9";"Logan";"";""
"9";"mail";"";""
"9";"main";"";""
"9";"manager";"";""
"9";"merge";"";""
"9";"messed";"";""
"9";"midnight";"";""
"9";"nearly";"";""
"9";"NeverAgain";"";""
"9";"nonstop";"";""
"9";"officially";"";""
"9";"Orlando";"";""
"9";"Oscars";"";""
"9";"pathetic";"";""
"9";"patience";"";""
"9";"Platinum";"";""
"9";"poorservice";"";""
"9";"program";"";""
"9";"public";"";""
"9";"realize";"";""
"9";"redeem";"";""
"9";"regarding";"";""
"9";"reLate";"";""
"9";"rest";"";""
"9";"ride";"";""
"9";"route";"";""
"9";"safe";"";""
"9";"Sat";"";""
"9";"Saturday";"";""
"9";"sell";"";""
"9";"share";"";""
"9";"shitty";"";""
"9";"showed";"";""
"9";"solution";"";""
"9";"somewhere";"";""
"9";"straight";"";""
"9";"systems";"";""
"9";"tho";"";""
"9";"Three";"";""
"9";"till";"";""
"9";"Today";"";""
"9";"touch";"";""
"9";"tracking";"";""
"9";"travelers";"";""
"9";"turned";"";""
"9";"twitter";"";""
"9";"unfriendlyskies";"";""
"9";"upgrades";"";""
"9";"usually";"";""
"9";"w/out";"";""
"9";"ways";"";""
"9";"Website";"";""
"9";"weekend";"";""
"9";"wonder";"";""
"9";"world";"";""
"9";"worry";"";""
"9";"â€œ@AmericanAir";"";""
"9";"â€œ@united";"";""
"8";"2day";"";""
"8";"30min";"";""
"8";"5hrs";"";""
"8";"actual";"";""
"8";"advance";"";""
"8";"advise";"";""
"8";"Agents";"";""
"8";"along";"";""
"8";"alternate";"";""
"8";"announce";"";""
"8";"annoyed";"";""
"8";"annoying";"";""
"8";"apologize";"";""
"8";"Asked";"";""
"8";"auto";"";""
"8";"bathroom";"";""
"8";"biz";"";""
"8";"Booked";"";""
"8";"certain";"";""
"8";"CMH";"";""
"8";"compassion";"";""
"8";"computers";"";""
"8";"concerned";"";""
"8";"continue";"";""
"8";"costs";"";""
"8";"current";"";""
"8";"cuz";"";""
"8";"deliver";"";""
"8";"deplane";"";""
"8";"dinner";"";""
"8";"directly";"";""
"8";"disappointment";"";""
"8";"emergency";"";""
"8";"epicfail";"";""
"8";"Even";"";""
"8";"evening";"";""
"8";"Ever";"";""
"8";"exit";"";""
"8";"expired";"";""
"8";"fair";"";""
"8";"faster";"";""
"8";"Flightations";"";""
"8";"floor";"";""
"8";"Florida";"";""
